#	Time	Error_of_Energy
2.38732415e-03 1.63868918e-12
4.77464829e-03 4.69180250e-12
7.16197244e-03 9.14379683e-12
9.54929659e-03 1.49846802e-11
1.19366207e-02 2.21811458e-11
1.43239449e-02 3.07154302e-11
1.67112690e-02 4.05453449e-11
1.90985932e-02 5.16275911e-11
2.14859173e-02 6.39222009e-11
2.38732415e-02 7.73769937e-11
2.62605656e-02 9.19342380e-11
2.86478898e-02 1.07535092e-10
3.10352139e-02 1.24115163e-10
3.34225380e-02 1.41614498e-10
3.58098622e-02 1.59960933e-10
3.81971863e-02 1.79081194e-10
4.05845105e-02 1.98907557e-10
4.29718346e-02 2.19368967e-10
4.53591588e-02 2.40384379e-10
4.77464829e-02 2.61881627e-10
5.01338071e-02 2.83789658e-10
5.25211312e-02 3.06035197e-10
5.49084554e-02 3.28543859e-10
5.72957795e-02 3.51253471e-10
5.96831037e-02 3.74091869e-10
6.20704278e-02 3.96993549e-10
6.44577520e-02 4.19893009e-10
6.68450761e-02 4.42732517e-10
6.92324002e-02 4.65452121e-10
7.16197244e-02 4.88001861e-10
7.40070485e-02 5.10330667e-10
7.63943727e-02 5.32390798e-10
7.87816968e-02 5.54137847e-10
8.11690210e-02 5.75535175e-10
8.35563451e-02 5.96540595e-10
8.59436693e-02 6.17125240e-10
8.83309934e-02 6.37262465e-10
9.07183176e-02 6.56920074e-10
9.31056417e-02 6.76083634e-10
9.54929659e-02 6.94728719e-10
9.78802900e-02 7.12845338e-10
1.00267614e-01 7.30415728e-10
1.02654938e-01 7.47429896e-10
1.05042262e-01 7.63886732e-10
1.07429587e-01 7.79778464e-10
1.09816911e-01 7.95101762e-10
1.12204235e-01 8.09857736e-10
1.14591559e-01 8.24051938e-10
1.16978883e-01 8.37685477e-10
1.19366207e-01 8.50766124e-10
1.21753531e-01 8.63306093e-10
1.24140856e-01 8.75305384e-10
1.26528180e-01 8.86782869e-10
1.28915504e-01 8.97745212e-10
1.31302828e-01 9.08205733e-10
1.33690152e-01 9.18177756e-10
1.36077476e-01 9.27681265e-10
1.38464800e-01 9.36720701e-10
1.40852125e-01 9.45317158e-10
1.43239449e-01 9.53485069e-10
1.45626773e-01 9.61241087e-10
1.48014097e-01 9.68597424e-10
1.50401421e-01 9.75571846e-10
1.52788745e-01 9.82183224e-10
1.55176070e-01 9.88441551e-10
1.57563394e-01 9.94366811e-10
1.59950718e-01 9.99971217e-10
1.62338042e-01 1.00527142e-09
1.64725366e-01 1.01028186e-09
1.67112690e-01 1.01501696e-09
1.69500014e-01 1.01949005e-09
1.71887339e-01 1.02371334e-09
1.74274663e-01 1.02770459e-09
1.76661987e-01 1.03147157e-09
1.79049311e-01 1.03502873e-09
1.81436635e-01 1.03838604e-09
1.83823959e-01 1.04155795e-09
1.86211283e-01 1.04455222e-09
1.88598608e-01 1.04738329e-09
1.90985932e-01 1.05005560e-09
1.93373256e-01 1.05258247e-09
1.95760580e-01 1.05497056e-09
1.98147904e-01 1.05723097e-09
2.00535228e-01 1.05937037e-09
2.02922552e-01 1.06139764e-09
2.05309877e-01 1.06331610e-09
2.07697201e-01 1.06513687e-09
2.10084525e-01 1.06686437e-09
2.12471849e-01 1.06850528e-09
2.14859173e-01 1.07006626e-09
2.17246497e-01 1.07155174e-09
2.19633821e-01 1.07296727e-09
2.22021146e-01 1.07431619e-09
2.24408470e-01 1.07560516e-09
2.26795794e-01 1.07683640e-09
2.29183118e-01 1.07801434e-09
2.31570442e-01 1.07914455e-09
2.33957766e-01 1.08022813e-09
2.36345090e-01 1.08126619e-09
2.38732415e-01 1.08226761e-09
2.41119739e-01 1.08323017e-09
2.43507063e-01 1.08416165e-09
2.45894387e-01 1.08505871e-09
2.48281711e-01 1.08592579e-09
2.50669035e-01 1.08676512e-09
2.53056360e-01 1.08757892e-09
2.55443684e-01 1.08836606e-09
2.57831008e-01 1.08913323e-09
2.60218332e-01 1.08987930e-09
2.62605656e-01 1.09060427e-09
2.64992980e-01 1.09131149e-09
2.67380304e-01 1.09200093e-09
2.69767629e-01 1.09267484e-09
2.72154953e-01 1.09333431e-09
2.74542277e-01 1.09397935e-09
2.76929601e-01 1.09460996e-09
2.79316925e-01 1.09522724e-09
2.81704249e-01 1.09583231e-09
2.84091573e-01 1.09642739e-09
2.86478898e-01 1.09701137e-09
2.88866222e-01 1.09758425e-09
2.91253546e-01 1.09815046e-09
2.93640870e-01 1.09870446e-09
2.96028194e-01 1.09924958e-09
2.98415518e-01 1.09978582e-09
3.00802842e-01 1.10031317e-09
3.03190167e-01 1.10083387e-09
3.05577491e-01 1.10134790e-09
3.07964815e-01 1.10185194e-09
3.10352139e-01 1.10234932e-09
3.12739463e-01 1.10284115e-09
3.15126787e-01 1.10332410e-09
3.17514111e-01 1.10380372e-09
3.19901436e-01 1.10427445e-09
3.22288760e-01 1.10473852e-09
3.24676084e-01 1.10519816e-09
3.27063408e-01 1.10565224e-09
3.29450732e-01 1.10609744e-09
3.31838056e-01 1.10653708e-09
3.34225380e-01 1.10697229e-09
3.36612705e-01 1.10740084e-09
3.39000029e-01 1.10782494e-09
3.41387353e-01 1.10824350e-09
3.43774677e-01 1.10865539e-09
3.46162001e-01 1.10906062e-09
3.48549325e-01 1.10946252e-09
3.50936650e-01 1.10985832e-09
3.53323974e-01 1.11024967e-09
3.55711298e-01 1.11063603e-09
3.58098622e-01 1.11101683e-09
3.60485946e-01 1.11139264e-09
3.62873270e-01 1.11176290e-09
3.65260594e-01 1.11213039e-09
3.67647919e-01 1.11249121e-09
3.70035243e-01 1.11284648e-09
3.72422567e-01 1.11319842e-09
3.74809891e-01 1.11354481e-09
3.77197215e-01 1.11388454e-09
3.79584539e-01 1.11422205e-09
3.81971863e-01 1.11455178e-09
3.84359188e-01 1.11488041e-09
3.86746512e-01 1.11520237e-09
3.89133836e-01 1.11551879e-09
3.91521160e-01 1.11583298e-09
3.93908484e-01 1.11614107e-09
